state,round,fp_modern,electricity,hh_decisions,tfr,unmet_fp,literacy,schooling,internet,bank_account,mobile,wave
Andaman and Nicobar Islands,NFHS-4,48.3,97.0,92.6,1.5,15.5,84.1,49.1,,81.8,66.9,4
Andaman and Nicobar Islands,NFHS-5,57.73,97.58,94.48,1.28,13.51,85.97,52.47,34.79,89.21,80.83,5
Andaman and Nicobar Islands,NFHS-6,66.3,97.5,94.8,0.9,4.6,,65.0,72.0,93.3,86.7,6
Andhra Pradesh,NFHS-4,69.4,98.8,79.9,1.8,4.7,62.9,34.3,,66.3,36.2,4
Andhra Pradesh,NFHS-5,70.84,99.45,84.05,1.68,4.68,68.64,39.63,20.97,81.78,48.94,5
Andhra Pradesh,NFHS-6,73.1,99.7,84.0,1.8,4.4,,48.4,63.6,92.3,64.1,6
Arunachal Pradesh,NFHS-4,26.6,88.7,89.1,2.1,21.6,65.6,31.0,,56.6,59.8,4
Arunachal Pradesh,NFHS-5,47.15,94.8,87.03,1.8,12.45,73.78,39.36,52.92,78.24,76.36,5
Arunachal Pradesh,NFHS-6,47.9,98.2,87.0,1.5,8.9,,50.4,73.4,91.2,90.3,6
Assam,NFHS-4,37.0,78.2,87.4,2.2,14.2,71.8,26.2,,45.4,46.0,4
Assam,NFHS-5,45.31,92.57,92.08,1.87,10.95,77.2,29.57,28.21,78.49,57.24,5
Assam,NFHS-6,53.4,96.4,86.7,1.6,7.4,,37.1,53.5,91.7,66.8,6
Bihar,NFHS-4,23.3,58.6,75.2,3.4,21.2,49.6,22.8,,26.4,40.9,4
Bihar,NFHS-5,44.38,96.26,86.53,2.98,13.58,57.78,28.83,20.6,76.7,51.36,5
Bihar,NFHS-6,44.7,98.5,85.1,2.7,14.4,,33.1,58.4,90.9,62.8,6
Chandigarh,NFHS-4,58.2,99.6,96.6,1.6,6.3,83.2,59.2,,79.6,74.2,4
Chandigarh,NFHS-5,55.6,99.85,94.57,1.4,6.89,82.96,59.61,75.2,87.1,70.0,5
Chandigarh,NFHS-6,48.1,99.6,96.0,1.8,7.6,,70.1,83.9,87.7,84.4,6
Chhattisgarh,NFHS-4,54.5,95.6,90.5,2.2,11.1,66.3,26.5,,51.3,31.0,4
Chhattisgarh,NFHS-5,61.71,98.79,92.66,1.82,8.25,74.62,36.89,26.69,80.34,40.74,5
Chhattisgarh,NFHS-6,53.9,98.9,94.4,1.9,10.8,,41.9,54.4,93.4,47.8,6
Dadra & Nagar Haveli and Daman & Diu,NFHS-5,59.78,99.66,91.85,1.84,11.92,77.26,35.75,36.7,83.62,60.54,5
Dadra & Nagar Haveli and Daman & Diu,NFHS-6,50.1,99.7,98.4,1.7,8.6,,44.8,78.4,90.7,68.3,6
Dadra and Nagar Haveli,NFHS-4,37.9,97.4,78.5,2.3,19.6,62.5,35.8,,36.9,36.9,4
Daman and Diu,NFHS-4,31.6,100.0,86.7,1.7,19.7,83.1,49.2,,61.9,60.6,4
Goa,NFHS-4,24.8,99.8,93.8,1.7,17.5,89.0,58.2,,82.8,80.9,4
Goa,NFHS-5,60.07,100.0,93.13,1.3,8.38,92.96,71.5,73.69,88.34,91.18,5
Goa,NFHS-6,39.0,99.6,92.5,1.6,5.1,,66.5,94.0,91.1,89.9,6
Gujarat,NFHS-4,43.1,96.0,85.4,2.0,17.0,72.9,33.0,,48.6,47.9,4
Gujarat,NFHS-5,53.56,97.55,92.22,1.86,10.33,76.45,33.76,30.8,70.03,48.82,5
Gujarat,NFHS-6,51.6,98.2,93.5,1.9,6.0,,38.6,65.7,82.2,58.8,6
Haryana,NFHS-4,59.4,98.8,76.7,2.1,9.3,75.4,45.8,,45.6,50.5,4
Haryana,NFHS-5,60.53,99.62,87.53,1.91,7.57,81.67,49.53,48.39,73.63,50.4,5
Haryana,NFHS-6,53.1,99.6,91.1,2.0,6.0,,55.2,74.0,85.2,64.9,6
Himachal Pradesh,NFHS-4,52.1,99.5,90.8,1.9,15.7,88.2,59.4,,68.8,73.9,4
Himachal Pradesh,NFHS-5,63.42,99.47,93.88,1.66,7.86,91.73,65.89,49.67,83.09,79.5,5
Himachal Pradesh,NFHS-6,58.3,99.8,92.3,1.8,6.3,,72.1,75.4,93.0,84.3,6
Jammu and Kashmir,NFHS-4,46.1,97.4,84.0,2.0,12.3,69.0,37.2,,60.3,54.2,4
Jammu and Kashmir,NFHS-5,52.49,99.26,81.57,1.41,7.78,77.27,51.25,43.34,84.89,75.21,5
Jammu and Kashmir,NFHS-6,39.4,99.4,91.3,1.8,8.2,,50.1,63.6,93.0,76.9,6
Jharkhand,NFHS-4,37.5,80.1,86.6,2.6,18.4,59.0,28.7,,45.1,35.2,4
Jharkhand,NFHS-5,49.49,94.34,90.95,2.26,11.49,65.01,33.22,31.44,79.62,49.03,5
Jharkhand,NFHS-6,44.7,96.4,92.9,2.2,12.6,,39.5,68.6,90.8,58.4,6
Karnataka,NFHS-4,51.3,97.8,80.4,1.8,10.4,71.7,45.5,,59.4,47.1,4
Karnataka,NFHS-5,68.16,99.12,82.7,1.67,6.45,76.69,50.22,34.98,88.69,61.79,5
Karnataka,NFHS-6,63.2,99.7,89.2,1.8,8.8,,57.6,57.9,94.7,72.4,6
Kerala,NFHS-4,50.3,99.2,92.1,1.6,13.7,97.9,72.2,,70.6,81.2,4
Kerala,NFHS-5,52.82,99.61,94.1,1.79,12.47,98.27,76.97,61.11,78.53,86.56,5
Kerala,NFHS-6,54.6,99.7,96.5,1.8,10.2,,86.6,87.3,91.7,89.1,6
Ladakh,NFHS-5,48.02,99.46,80.42,1.31,7.89,76.8,50.04,56.39,88.38,81.15,5
Ladakh,NFHS-6,57.1,99.7,93.0,1.6,8.4,,58.2,78.9,95.5,89.0,6
Lakshadweep,NFHS-4,14.9,99.9,80.4,1.8,17.9,95.7,57.8,,72.6,68.0,4
Lakshadweep,NFHS-5,30.14,99.78,92.2,1.42,12.26,96.5,67.79,56.35,66.9,84.03,5
Lakshadweep,NFHS-6,23.8,99.8,94.6,2.2,8.7,,78.1,77.9,89.1,85.8,6
Madhya Pradesh,NFHS-4,49.6,89.9,82.8,2.3,12.1,59.4,23.2,,37.3,28.7,4
Madhya Pradesh,NFHS-5,65.5,98.41,86.04,1.99,7.68,68.85,29.29,26.91,74.68,38.52,5
Madhya Pradesh,NFHS-6,62.1,99.3,90.4,2.1,6.2,,33.7,62.0,92.1,48.5,6
Maharashtra,NFHS-4,62.6,92.5,89.3,1.9,9.7,80.3,42.0,,45.3,45.6,4
Maharashtra,NFHS-5,63.77,97.81,89.82,1.71,9.56,84.58,50.44,38.04,72.81,54.8,5
Maharashtra,NFHS-6,66.7,98.9,93.1,1.8,6.9,,55.4,62.6,84.0,63.5,6
Manipur,NFHS-4,12.7,92.4,96.2,2.6,30.1,85.0,45.9,,34.8,63.1,4
Manipur,NFHS-5,18.17,98.08,94.77,2.17,12.23,87.62,48.08,44.76,74.03,72.23,5
Meghalaya,NFHS-4,21.9,91.4,91.4,3.0,21.2,82.8,33.6,,54.4,64.3,4
Meghalaya,NFHS-5,22.49,91.94,92.25,2.91,26.94,88.17,35.13,34.72,70.44,67.45,5
Meghalaya,NFHS-6,30.2,95.9,89.5,2.2,21.0,,37.5,59.0,81.5,80.6,6
Mizoram,NFHS-4,35.3,95.9,96.0,2.3,19.9,93.5,40.2,,57.4,77.3,4
Mizoram,NFHS-5,30.76,98.16,98.84,1.87,18.88,94.35,49.95,67.58,80.7,82.25,5
Mizoram,NFHS-6,61.0,97.9,98.5,1.6,8.0,,54.7,82.5,93.6,90.9,6
NCT of Delhi,NFHS-4,47.3,99.8,73.8,1.7,15.8,81.8,55.4,,64.4,66.6,4
NCT of Delhi,NFHS-5,57.68,99.87,92.0,1.62,6.11,85.02,59.73,63.8,72.45,73.81,5
NCT of Delhi,NFHS-6,51.2,99.4,90.7,1.6,7.3,,64.0,82.0,86.7,83.3,6
Nagaland,NFHS-4,21.4,97.0,97.4,2.7,22.2,81.0,33.3,,38.9,70.5,4
Nagaland,NFHS-5,45.33,98.55,99.22,1.72,9.14,85.8,44.41,49.91,63.68,82.46,5
Nagaland,NFHS-6,47.8,99.3,98.9,2.0,5.7,,46.3,76.6,85.7,88.5,6
Odisha,NFHS-4,45.4,85.5,81.8,2.1,13.6,67.4,26.7,,56.2,39.2,4
Odisha,NFHS-5,48.77,97.01,90.24,1.82,7.16,71.92,32.98,24.9,86.5,50.05,5
Odisha,NFHS-6,40.8,97.7,87.2,1.7,10.0,,43.9,51.8,90.6,63.6,6
Puducherry,NFHS-4,61.2,99.6,85.1,1.7,8.3,85.0,60.3,,68.2,67.3,4
Puducherry,NFHS-5,62.14,99.87,97.88,1.49,10.52,91.14,65.41,61.94,92.62,82.85,5
Puducherry,NFHS-6,62.9,99.8,89.7,1.6,6.2,,75.1,66.1,92.1,82.4,6
Punjab,NFHS-4,66.3,99.6,90.2,1.6,6.2,81.4,55.1,,58.8,57.2,4
Punjab,NFHS-5,50.45,99.68,91.42,1.63,9.87,81.4,56.02,54.81,81.62,61.23,5
Punjab,NFHS-6,48.1,99.7,93.2,1.6,6.7,,60.6,74.5,87.9,72.6,6
Rajasthan,NFHS-4,53.5,91.0,81.7,2.4,12.3,56.5,25.1,,58.2,41.4,4
Rajasthan,NFHS-5,62.1,98.14,87.68,2.01,7.6,66.37,33.44,36.88,79.64,50.18,5
Rajasthan,NFHS-6,57.1,98.4,84.5,2.1,7.9,,38.7,66.3,89.1,61.1,6
Sikkim,NFHS-4,45.9,99.4,95.3,1.2,21.7,86.6,40.7,,63.5,79.8,4
Sikkim,NFHS-5,54.94,99.29,89.73,1.05,11.93,88.92,49.01,76.71,76.41,88.64,5
Sikkim,NFHS-6,42.2,99.8,98.6,1.0,4.5,,58.4,90.3,91.4,91.6,6
Tamil Nadu,NFHS-4,52.6,98.8,84.0,1.7,10.1,79.4,50.9,,77.0,62.0,4
Tamil Nadu,NFHS-5,65.48,99.34,92.8,1.76,7.47,85.89,56.57,46.92,92.17,74.62,5
Tamil Nadu,NFHS-6,65.1,99.3,91.4,1.7,6.4,,64.2,59.5,90.0,76.8,6
Telangana,NFHS-4,56.9,98.2,81.1,1.8,7.3,65.2,43.3,,59.7,47.8,4
Telangana,NFHS-5,66.66,99.59,87.16,1.75,6.43,66.64,45.5,26.49,84.36,59.98,5
Telangana,NFHS-6,67.6,98.6,89.9,1.9,7.0,,51.1,64.8,92.3,65.8,6
Tripura,NFHS-4,42.8,92.7,91.7,1.7,10.7,80.4,23.4,,59.2,43.9,4
Tripura,NFHS-5,49.13,98.19,90.93,1.7,8.16,80.61,23.23,22.93,76.9,53.08,5
Tripura,NFHS-6,40.0,98.5,96.3,1.7,8.5,,32.9,48.8,91.6,65.5,6
Uttar Pradesh,NFHS-4,31.7,70.9,81.7,2.7,18.1,61.0,32.9,,54.6,37.1,4
Uttar Pradesh,NFHS-5,44.48,91.04,87.55,2.35,12.85,68.83,39.27,30.58,75.43,46.53,5
Uttar Pradesh,NFHS-6,33.2,95.8,85.9,2.2,10.8,,42.5,70.0,83.5,56.4,6
Uttarakhand,NFHS-4,49.3,97.5,89.8,2.1,15.5,76.5,44.6,,58.5,55.4,4
Uttarakhand,NFHS-5,57.83,99.59,90.98,1.85,8.84,81.57,50.36,45.12,80.21,60.93,5
Uttarakhand,NFHS-6,50.4,99.3,93.8,1.9,8.9,,56.1,76.9,91.0,72.5,6
West Bengal,NFHS-4,57.0,93.7,89.9,1.8,7.5,71.0,26.5,,43.5,41.9,4
West Bengal,NFHS-5,60.74,97.49,88.93,1.64,7.04,76.06,32.94,25.46,76.49,50.12,5
West Bengal,NFHS-6,54.9,99.1,89.0,1.6,5.0,,40.0,59.3,95.3,65.1,6
